price,year,make,model
32990,2019,Nissan,LEAF SV
17990,2016,Nissan,LEAF S-24
23950,2019,Fiat,500e electric
32950,2020,Chevrolet,Bolt EV
28950,2020,Nissan,Leaf S
17950,2017,Nissan,Leaf S
27950,2019,Nissan,Leaf SL
14990,2015,Nissan,LEAF S
44990,2018,Tesla,Model 3
13990,2013,Nissan,LEAF S
16590,2016,Kia,Soul EV
15590,2015,Nissan,LEAF S
14990,2015,Nissan,LEAF S
14990,2014,Nissan,LEAF SV
21590,2017,Kia,Soul EV
14990,2015,Nissan,LEAF SV
15990,2016,Kia,Soul EV
5500,2006,trail-,lite trail
119990,2022,Tesla,Model X
37700,2016,Tesla,Model S
16990,2016,Nissan,LEAF S-24
16590,2015,Kia,Soul EV
19990,2016,Kia,Soul EV
16990,2016,Nissan,LEAF S-24
49900,2018,Tesla,Model X
44900,2019,Tesla,Model 3
11590,2011,Nissan,LEAF SV
16990,2016,Nissan,LEAF S-24
69990,2022,Tesla,Model Y
16590,2016,Nissan,LEAF S-24
47000,2020,Tesla,Model 3
15590,2015,Nissan,LEAF S
69990,2018,Tesla,Model X
60900,2016,Tesla,Model S
17995,2017,Lincoln,MKZ Hybrid
5500,2006,trail-,lite trail
59000,2022,Tesla,Model 3
28590,2019,Kia,Soul EV
14990,2014,Nissan,LEAF SV
19590,2017,Nissan,LEAF SL
14590,2013,Nissan,LEAF S
13990,2014,Nissan,LEAF S
29950,2019,Nissan,Leaf S
46000,2018,Tesla,Model 3
17590,2016,Nissan,LEAF S-24
33590,2019,Nissan,LEAF SL
27950,2019,Chevrolet,Bolt EV
31950,2020,Chevrolet,Bolt EV
19590,2017,Kia,Soul EV
35990,2019,BMW,i3 Base
30590,2019,Nissan,LEAF SL
10990,2013,Nissan,LEAF S
16990,2016,Nissan,LEAF S-24
20990,2017,Kia,Soul EV
16990,2015,Nissan,LEAF S
5500,2006,trail-,lite trail
18590,2016,Kia,Soul EV
21990,2017,Chevy,Chevrolet Bolt
91000,2020,Tesla,Model S
26990,2018,Nissan,LEAF SL
24590,2018,Nissan,LEAF S
19590,2015,BMW,i3 Hatchback
52590,2019,Tesla,Model 3
19590,2014,BMW,i3 Hatchback
36490,2022,CHEVROLET,BOLT EUV
16990,2016,Nissan,LEAF S-24
21590,2015,BMW,i3 Hatchback
18590,2017,Nissan,LEAF S
18990,2014,BMW,i3 Hatchback
18990,2016,Kia,Soul EV
26990,2019,Nissan,LEAF S
27590,2019,Nissan,LEAF S
18990,2014,BMW,i3 Hatchback
21990,2016,BMW,i3 Hatchback
24590,2018,Chevy,Chevrolet Bolt
15990,2016,Kia,Soul EV
30990,2018,BMW,i3 s
24990,2019,Nissan,LEAF S
16990,2017,Nissan,LEAF S
18590,2016,Kia,Soul EV
18990,2015,BMW,i3 Hatchback
5500,2006,trail-,lite trail
33700,2016,Tesla,Model S
53751,2021,Tesla,Model 3
16990,2016,Nissan,LEAF S-24
21590,2017,Kia,Soul EV
32950,2019,Nissan,Leaf SL
13950,2015,Nissan,Leaf S
47999,2016,Tesla,Model S
20990,2015,BMW,i3 Hatchback
19990,2017,Kia,Soul EV
11990,2012,Nissan,LEAF SV
15990,2015,Nissan,LEAF SV
21990,2015,BMW,i3 Hatchback
31990,2019,BMW,i3 Hatchback
205000,2022,HUMMER,EV Edition
21590,2016,BMW,i3 Hatchback
19590,2014,BMW,i3 Hatchback
12990,2014,Nissan,LEAF S
5500,2006,trail-,lite trail
16590,2015,Nissan,LEAF S
18990,2015,Nissan,LEAF SV
14590,2013,Nissan,LEAF S
24990,2017,BMW,i3 Hatchback
18590,2016,Kia,Soul EV
13990,2013,Nissan,LEAF SV
13590,2012,Nissan,LEAF SL
17990,2017,Kia,Soul EV
18590,2014,BMW,i3 Hatchback
36950,2022,Chevrolet,Bolt EUV
29950,2019,Chevrolet,Bolt EV
28950,2019,Chevrolet,Bolt EV
33950,2022,Chevrolet,Bolt EV
34950,2019,Nissan,Leaf SL
29950,2019,Chevrolet,Bolt EV
45950,2018,Tesla,Model 3
32950,2021,Chevrolet,Bolt EV
59950,2021,Ford,Mustang Mach
32950,2020,Chevrolet,Bolt EV
13590,2012,Nissan,LEAF SL
13990,2013,Nissan,LEAF SV
18590,2014,BMW,i3 Hatchback
17990,2017,Kia,Soul EV
17995,2017,Lincoln,MKZ Hybrid
30590,2019,Nissan,LEAF SV
20590,2015,BMW,i3 Hatchback
23590,2017,Mercedes-Benz,B-Class B
28990,2019,Nissan,LEAF SV
27990,2018,BMW,i3 Hatchback
19990,2017,Kia,Soul EV
23990,2017,Chevy,Chevrolet Bolt
67985,2017,Tesla,Model X
18590,2014,BMW,i3 Hatchback
14590,2015,Nissan,LEAF SL
18990,2017,Nissan,LEAF S
6000,2006,trail-,lite trail
41850,2018,Tesla,Model 3
13990,2013,Nissan,LEAF S
13990,2013,Nissan,LEAF SV
18990,2014,BMW,i3 Hatchback
16590,2015,Kia,Soul EV
55000,2019,Tesla,Model X
32990,2019,BMW,i3 Base
15590,2015,Nissan,LEAF S
28590,2018,BMW,i3 Base
39950,2018,Tesla,Model 3
20990,2016,Mercedes-Benz,B-Class B
14590,2013,Nissan,LEAF S
18590,2014,BMW,i3 Hatchback
30590,2019,Nissan,LEAF SV
18590,2014,BMW,i3 Hatchback
17990,2014,BMW,i3 Hatchback
15990,2016,Nissan,LEAF S-24
16990,2016,Nissan,LEAF S-24
